name,total_points,position_DEF,GW,team,opponent_team,position_FWD,position_GK,position_MID,game_avg_7,initval,was_home_False,was_home_True,pos_id,initval,rank,diff_from_avg,opp_defense_rank,opp_attack_rank,team_cluster_rank,opp_cluster_rank,was_home
Cheikhou Kouyaté,3,0,1,6,16,0,0,1,3.0,50.0,0,1,0,50.0,3.0,0.0,3,1,1,1,True
Ross Barkley,1,0,1,5,3,0,0,1,1.1428571428571428,60.0,1,0,0,60.0,2.0,-0.1428571428571428,1,1,1,1,False
Bobby Decordova-Reid,1,0,1,8,1,1,0,0,2.0,55.0,0,1,2,55.0,2.0,-1.0,0,1,1,1,True
Benjamin Chilwell,0,1,1,5,3,0,0,0,2.2857142857142856,55.0,1,0,1,55.0,3.0,-2.2857142857142856,1,1,1,1,False
James Maddison,1,0,1,10,18,0,0,1,3.142857142857143,70.0,1,0,0,70.0,3.0,-2.142857142857143,3,0,0,0,False
Jarrod Bowen,2,0,1,19,14,0,0,1,3.4285714285714284,65.0,0,1,0,65.0,3.0,-1.4285714285714284,2,1,1,1,True
Oliver Norwood,2,0,1,15,20,0,0,1,1.4285714285714286,50.0,0,1,0,50.0,2.0,0.5714285714285714,2,0,0,0,True
Kyle Walker-Peters,1,1,1,16,6,0,0,0,2.0,45.0,1,0,1,45.0,2.0,-1.0,3,1,1,1,False
Dan Burn,0,1,1,3,5,0,0,0,1.5714285714285714,45.0,0,1,1,45.0,2.0,-1.5714285714285714,0,2,2,2,True
Jack Harrison,7,0,1,9,11,0,0,1,3.4285714285714284,55.0,1,0,0,55.0,3.0,3.5714285714285716,0,2,2,2,False
Dominic Calvert-Lewin,8,0,1,7,17,1,0,0,5.285714285714286,70.0,1,0,2,70.0,3.0,2.7142857142857144,0,2,2,2,False
Miguel Almirón,4,0,1,14,19,0,0,1,2.0,60.0,1,0,0,60.0,2.0,2.0,1,2,2,2,False
Marcos Alonso,2,1,1,5,3,0,0,0,2.5714285714285716,60.0,1,0,1,60.0,3.0,-0.5714285714285716,1,1,1,1,False
Luke Ayling,0,1,1,9,11,0,0,0,1.1428571428571428,45.0,1,0,1,45.0,2.0,-1.1428571428571428,0,2,2,2,False
Eberechi Eze,1,0,1,6,16,0,0,1,2.2857142857142856,60.0,0,1,0,60.0,3.0,-1.2857142857142856,3,1,1,1,True
Jeff Hendrick,14,0,1,14,19,0,0,1,2.2857142857142856,50.0,1,0,0,50.0,3.0,11.714285714285715,1,2,2,2,False
Callum Wilson,8,0,1,14,19,1,0,0,3.857142857142857,65.0,1,0,2,65.0,3.0,4.142857142857142,1,2,2,2,False
Oriol Romeu Vidal,2,0,1,16,6,0,0,1,0.8571428571428571,45.0,1,0,0,45.0,2.0,1.1428571428571428,3,1,1,1,False
César Azpilicueta,1,1,1,5,3,0,0,0,3.857142857142857,60.0,1,0,1,60.0,3.0,-2.857142857142857,1,1,1,1,False
Lukasz Fabianski,1,0,1,19,14,0,1,0,2.2857142857142856,50.0,0,1,3,50.0,3.0,-1.2857142857142856,2,1,1,1,True
Alisson Ramses Becker,1,0,1,11,10,0,1,0,4.571428571428571,60.0,0,1,3,60.0,3.0,-3.571428571428571,2,2,2,2,True
Trent Alexander-Arnold,1,1,1,11,10,0,0,0,3.0,75.0,0,1,1,75.0,3.0,-2.0,2,2,2,2,True
Kalvin Phillips,5,0,1,9,11,0,0,1,1.7142857142857142,50.0,1,0,0,50.0,2.0,3.2857142857142856,0,2,2,2,False
James Justin,9,1,1,10,18,0,0,0,4.571428571428571,45.0,1,0,1,45.0,3.0,4.428571428571429,3,0,0,0,False
Heung-Min Son,2,0,1,17,7,0,0,1,2.5714285714285716,90.0,0,1,0,90.0,3.0,-0.5714285714285716,1,1,1,1,True
Jonny Evans,0,1,1,10,18,0,0,0,4.142857142857143,55.0,1,0,1,55.0,3.0,-4.142857142857143,3,0,0,0,False
Ezgjan Alioski,0,1,1,9,11,0,0,0,1.2857142857142858,45.0,1,0,1,45.0,2.0,-1.2857142857142858,0,2,2,2,False
Allan Saint-Maximin,3,0,1,14,19,0,0,1,2.4285714285714284,55.0,1,0,0,55.0,3.0,0.5714285714285716,1,2,2,2,False
Kyle Bartley,1,1,1,18,9,0,0,0,1.7142857142857142,45.0,0,1,1,45.0,2.0,-0.7142857142857142,2,2,2,2,True
Andrew Robertson,4,1,1,11,10,0,0,0,4.142857142857143,70.0,0,1,1,70.0,3.0,-0.14285714285714324,2,2,2,2,True
Aleksandar Mitrović,1,0,1,8,1,1,0,0,1.8571428571428572,60.0,0,1,2,60.0,2.0,-0.8571428571428572,0,1,1,1,True
Marc Albrighton,1,0,1,10,18,0,0,1,1.4285714285714286,55.0,1,0,0,55.0,2.0,-0.4285714285714286,3,0,0,0,False
Alex McCarthy,2,0,1,16,6,0,1,0,3.0,45.0,1,0,3,45.0,3.0,-1.0,3,1,1,1,False
Yves Bissouma,2,0,1,3,5,0,0,1,1.8571428571428572,45.0,0,1,0,45.0,2.0,0.1428571428571428,0,2,2,2,True
Michail Antonio,2,0,1,19,14,1,0,0,1.7142857142857142,65.0,0,1,2,65.0,2.0,0.2857142857142858,2,1,1,1,True
Antonee Robinson,0,1,1,8,1,0,0,0,0.8571428571428571,45.0,0,1,1,45.0,2.0,-0.8571428571428571,0,1,1,1,True
Leandro Trossard,8,0,1,3,5,0,0,1,3.2857142857142856,60.0,0,1,0,60.0,3.0,4.714285714285714,0,2,2,2,True
Kelechi Iheanacho,0,0,1,10,18,1,0,0,3.2857142857142856,60.0,1,0,2,60.0,3.0,-3.2857142857142856,3,0,0,0,False
Sadio Mané,2,0,1,11,10,0,0,1,4.714285714285714,120.0,0,1,0,120.0,3.0,-2.7142857142857144,2,2,2,2,True
Darnell Furlong,2,1,1,18,9,0,0,0,1.7142857142857142,45.0,0,1,1,45.0,2.0,0.2857142857142858,2,2,2,2,True
Che Adams,2,0,1,16,6,1,0,0,4.714285714285714,60.0,1,0,2,60.0,3.0,-2.7142857142857144,3,1,1,1,False
Timo Werner,5,0,1,5,3,1,0,0,3.2857142857142856,95.0,1,0,2,95.0,3.0,1.7142857142857144,1,1,1,1,False
Kurt Zouma,8,1,1,5,3,0,0,0,3.2857142857142856,50.0,1,0,1,50.0,3.0,4.714285714285714,1,1,1,1,False
Gylfi Sigurdsson,1,0,1,7,17,0,0,1,4.714285714285714,70.0,1,0,0,70.0,3.0,-3.7142857142857144,0,2,2,2,False
Rodrigo Moreno,1,0,1,9,11,1,0,0,2.0,60.0,1,0,2,60.0,2.0,-1.0,0,2,2,2,False
Kai Havertz,2,0,1,5,3,0,0,1,2.4285714285714284,85.0,1,0,0,85.0,3.0,-0.4285714285714284,1,1,1,1,False
Sam Johnstone,2,0,1,18,9,0,1,0,3.2857142857142856,45.0,0,1,3,45.0,3.0,-1.2857142857142856,2,2,2,2,True
Joel Ward,6,1,1,6,16,0,0,0,1.7142857142857142,45.0,0,1,1,45.0,2.0,4.285714285714286,3,1,1,1,True
Kasper Schmeichel,6,0,1,10,18,0,1,0,4.0,55.0,1,0,3,55.0,3.0,2.0,3,0,0,0,False
Aaron Cresswell,1,1,1,19,14,0,0,0,3.2857142857142856,50.0,0,1,1,50.0,3.0,-2.2857142857142856,2,1,1,1,True
Fabio Henrique Tavares,4,0,1,11,10,0,0,1,1.7142857142857142,55.0,0,1,0,55.0,2.0,2.2857142857142856,2,2,2,2,True
Jordan Pickford,8,0,1,7,17,0,1,0,3.2857142857142856,50.0,1,0,3,50.0,3.0,4.714285714285714,0,2,2,2,False
Pablo Fornals,2,0,1,19,14,0,0,1,3.2857142857142856,65.0,0,1,0,65.0,3.0,-1.2857142857142856,2,1,1,1,True
Joelinton Cássio Apolinário de Lira,1,0,1,14,19,1,0,0,2.4285714285714284,60.0,1,0,2,60.0,3.0,-1.4285714285714284,1,2,2,2,False
George Baldock,1,1,1,15,20,0,0,0,2.0,55.0,0,1,1,55.0,2.0,-1.0,2,0,0,0,True
Eric Dier,2,1,1,17,7,0,0,0,1.1428571428571428,50.0,0,1,1,50.0,2.0,0.8571428571428572,1,1,1,1,True
Michael Keane,6,1,1,7,17,0,0,0,3.2857142857142856,50.0,1,0,1,50.0,3.0,2.7142857142857144,0,2,2,2,False
André-Frank Zambo Anguissa,1,0,1,8,1,0,0,1,1.4285714285714286,45.0,0,1,0,45.0,2.0,-0.4285714285714286,0,1,1,1,True
Jeffrey Schlupp,2,0,1,6,16,0,0,1,1.4285714285714286,55.0,0,1,0,55.0,2.0,0.5714285714285714,3,1,1,1,True
Çaglar Söyüncü,6,1,1,10,18,0,0,0,3.0,55.0,1,0,1,55.0,3.0,3.0,3,0,0,0,False
Mason Holgate,0,1,1,7,17,0,0,0,3.142857142857143,50.0,1,0,1,50.0,3.0,-3.142857142857143,0,2,2,2,False
Wilfred Ndidi,3,0,1,10,18,0,0,1,3.0,50.0,1,0,0,50.0,3.0,0.0,3,0,0,0,False
Tammy Abraham,0,0,1,5,3,1,0,0,2.0,75.0,1,0,2,75.0,2.0,-2.0,1,1,1,1,False
Danny Ings,2,0,1,16,6,1,0,0,4.714285714285714,85.0,1,0,2,85.0,3.0,-2.7142857142857144,3,1,1,1,False
James Ward-Prowse,2,0,1,16,6,0,0,1,2.5714285714285716,60.0,1,0,0,60.0,3.0,-0.5714285714285716,3,1,1,1,False
Tomas Soucek,2,0,1,19,14,0,0,1,5.428571428571429,50.0,0,1,0,50.0,3.0,-3.428571428571429,2,1,1,1,True
Mateo Kovacic,0,0,1,5,3,0,0,1,1.2857142857142858,55.0,1,0,0,55.0,2.0,-1.2857142857142858,1,1,1,1,False
Luka Milivojevic,1,0,1,6,16,0,0,1,1.0,60.0,0,1,0,60.0,2.0,0.0,3,1,1,1,True
Conor Townsend,0,1,1,18,9,0,0,0,1.4285714285714286,45.0,0,1,1,45.0,2.0,-1.4285714285714286,2,2,2,2,True
Hélder Wander Sousa de Azevedo e Costa,5,0,1,9,11,0,0,1,1.4285714285714286,55.0,1,0,0,55.0,2.0,3.571428571428571,0,2,2,2,False
Ben White,1,1,1,3,5,0,0,0,2.142857142857143,45.0,0,1,1,45.0,2.0,-1.1428571428571428,0,2,2,2,True
N'Golo Kanté,2,0,1,5,3,0,0,1,1.1428571428571428,50.0,1,0,0,50.0,2.0,0.8571428571428572,1,1,1,1,False
Toby Alderweireld,2,1,1,17,7,0,0,0,1.1428571428571428,55.0,0,1,1,55.0,2.0,0.8571428571428572,1,1,1,1,True
Jordan Henderson,2,0,1,11,10,0,0,1,1.2857142857142858,55.0,0,1,0,55.0,2.0,0.7142857142857142,2,2,2,2,True
Aaron Ramsdale,1,0,1,15,20,0,1,0,3.4285714285714284,50.0,0,1,3,50.0,3.0,-2.4285714285714284,2,0,0,0,True
Adam Lallana,1,0,1,3,5,0,0,1,1.2857142857142858,65.0,0,1,0,65.0,2.0,-0.2857142857142858,0,2,2,2,True
John Egan,0,1,1,15,20,0,0,0,2.5714285714285716,50.0,0,1,1,50.0,3.0,-2.5714285714285716,2,0,0,0,True
Jonjo Shelvey,3,0,1,14,19,0,0,1,1.5714285714285714,55.0,1,0,0,55.0,2.0,1.4285714285714286,1,2,2,2,False
Andreas Christensen,2,1,1,5,3,0,0,0,0.14285714285714285,50.0,1,0,1,50.0,1.0,1.8571428571428572,1,1,1,1,False
Karl Darlow,7,0,1,14,19,0,1,0,1.5714285714285714,50.0,1,0,3,50.0,2.0,5.428571428571429,1,2,2,2,False
Patrick Bamford,7,0,1,9,11,1,0,0,6.0,55.0,1,0,2,55.0,3.0,1.0,0,2,2,2,False
Ivan Ricardo Neves Abreu Cavaleiro,2,0,1,8,1,0,0,1,1.5714285714285714,55.0,0,1,0,55.0,2.0,0.4285714285714286,0,1,1,1,True
Harvey Barnes,3,0,1,10,18,0,0,1,3.5714285714285716,70.0,1,0,0,70.0,3.0,-0.5714285714285716,3,0,0,0,False
Stuart Armstrong,0,0,1,16,6,0,0,1,2.7142857142857144,55.0,1,0,0,55.0,3.0,-2.7142857142857144,3,1,1,1,False
Callum Hudson-Odoi,1,0,1,5,3,0,0,1,2.5714285714285716,60.0,1,0,0,60.0,3.0,-1.5714285714285716,1,1,1,1,False
Ayoze Pérez,3,0,1,10,18,0,0,1,2.4285714285714284,65.0,1,0,0,65.0,3.0,0.5714285714285716,3,0,0,0,False
Matheus Pereira,2,0,1,18,9,0,0,1,6.714285714285714,60.0,0,1,0,60.0,3.0,-4.714285714285714,2,2,2,2,True
Gary Cahill,0,1,1,6,16,0,0,0,2.142857142857143,45.0,0,1,1,45.0,2.0,-2.142857142857143,3,1,1,1,True
Vicente Guaita,10,0,1,6,16,0,1,0,3.5714285714285716,50.0,0,1,3,50.0,3.0,6.428571428571429,3,1,1,1,True
John Fleck,2,0,1,15,20,0,0,1,1.4285714285714286,60.0,0,1,0,60.0,2.0,0.5714285714285714,2,0,0,0,True
Tanguy Ndombele,1,0,1,17,7,0,0,1,2.142857142857143,60.0,0,1,0,60.0,2.0,-1.1428571428571428,1,1,1,1,True
Tyrick Mitchell,6,1,1,6,16,0,0,0,1.4285714285714286,40.0,0,1,1,40.0,2.0,4.571428571428571,3,1,1,1,True
Mario Lemina,0,0,1,8,1,0,0,1,1.0,45.0,0,1,0,45.0,2.0,-1.0,0,1,1,1,True
Mason Mount,2,0,1,5,3,0,0,1,4.428571428571429,70.0,1,0,0,70.0,3.0,-2.428571428571429,1,1,1,1,False
Hugo Lloris,3,0,1,17,7,0,1,0,2.4285714285714284,55.0,0,1,3,55.0,3.0,0.5714285714285716,1,1,1,1,True
Lewis Dunk,1,1,1,3,5,0,0,0,3.142857142857143,50.0,0,1,1,50.0,3.0,-2.142857142857143,0,2,2,2,True
Yerry Mina,6,1,1,7,17,0,0,0,3.5714285714285716,55.0,1,0,1,55.0,3.0,2.4285714285714284,0,2,2,2,False
David McGoldrick,1,0,1,15,20,1,0,0,2.142857142857143,55.0,0,1,2,55.0,2.0,-1.1428571428571428,2,0,0,0,True
Neal Maupay,2,0,1,3,5,1,0,0,1.4285714285714286,65.0,0,1,2,65.0,2.0,0.5714285714285714,0,2,2,2,True
Matt Phillips,0,0,1,18,9,0,0,1,1.4285714285714286,55.0,0,1,0,55.0,2.0,-1.4285714285714286,2,2,2,2,True
Mohamed Salah,20,0,1,11,10,0,0,1,7.714285714285714,120.0,0,1,0,120.0,3.0,12.285714285714285,2,2,2,2,True
Christian Benteke,0,0,1,6,16,1,0,0,2.0,55.0,0,1,2,55.0,2.0,-2.0,3,1,1,1,True
Lucas Digne,12,1,1,7,17,0,0,0,3.5714285714285716,60.0,1,0,1,60.0,3.0,8.428571428571429,0,2,2,2,False
Oluwasemilogo Adesewo Ibidapo Ajayi,0,1,1,18,9,0,0,0,0.7142857142857143,50.0,0,1,1,50.0,1.0,-0.7142857142857143,2,2,2,2,True
Illan Meslier,1,0,1,9,11,0,1,0,3.142857142857143,45.0,1,0,3,45.0,3.0,-2.142857142857143,0,2,2,2,False
Enda Stevens,1,1,1,15,20,0,0,0,2.4285714285714284,55.0,0,1,1,55.0,3.0,-1.4285714285714284,2,0,0,0,True
Nathan Redmond,2,0,1,16,6,0,0,1,1.8571428571428572,65.0,1,0,0,65.0,2.0,0.1428571428571428,3,1,1,1,False
Chris Basham,1,1,1,15,20,0,0,0,2.857142857142857,50.0,0,1,1,50.0,3.0,-1.8571428571428572,2,0,0,0,True
Hakim Ziyech,0,0,1,5,3,0,0,1,2.5714285714285716,80.0,1,0,0,80.0,3.0,-2.5714285714285716,1,1,1,1,False
Roberto Firmino,1,0,1,11,10,1,0,0,3.4285714285714284,95.0,0,1,2,95.0,3.0,-2.4285714285714284,2,2,2,2,True
Richarlison de Andrade,2,0,1,7,17,1,0,0,2.857142857142857,80.0,1,0,2,80.0,3.0,-0.8571428571428572,0,2,2,2,False
Ben Davies,2,1,1,17,7,0,0,0,0.5714285714285714,50.0,0,1,1,50.0,1.0,1.4285714285714286,1,1,1,1,True
Thiago Thiago,0,1,1,5,3,0,0,0,2.857142857142857,55.0,1,0,1,55.0,3.0,-2.857142857142857,1,1,1,1,False
Pascal Groß,1,0,1,3,5,0,0,1,3.7142857142857144,60.0,0,1,0,60.0,3.0,-2.7142857142857144,0,2,2,2,True
Callum Robinson,1,0,1,18,9,1,0,0,4.571428571428571,55.0,0,1,2,55.0,3.0,-3.571428571428571,2,2,2,2,True
Mateusz Klich,9,0,1,9,11,0,0,1,3.5714285714285716,55.0,1,0,0,55.0,3.0,5.428571428571429,0,2,2,2,False
Solomon March,2,0,1,3,5,0,0,1,2.0,50.0,0,1,0,50.0,2.0,0.0,0,2,2,2,True
Seamus Coleman,6,1,1,7,17,0,0,0,2.142857142857143,50.0,1,0,1,50.0,2.0,3.857142857142857,0,2,2,2,False
Jacob Murphy,0,0,1,14,19,0,0,1,1.0,50.0,1,0,0,50.0,2.0,-1.0,1,2,2,2,False
Pascal Struijk,0,1,1,9,11,0,0,0,0.7142857142857143,40.0,1,0,1,40.0,1.0,-0.7142857142857143,0,2,2,2,False
Jannik Vestergaard,1,1,1,16,6,0,0,0,3.142857142857143,45.0,1,0,1,45.0,3.0,-2.142857142857143,3,1,1,1,False
Ben Osborn,0,0,1,15,20,0,0,1,0.7142857142857143,50.0,0,1,0,50.0,1.0,-0.7142857142857143,2,0,0,0,True
Harry Kane,2,0,1,17,7,1,0,0,8.571428571428571,105.0,0,1,2,105.0,3.0,-6.571428571428571,1,1,1,1,True
Pierre-Emile Højbjerg,1,0,1,17,7,0,0,1,1.8571428571428572,50.0,0,1,0,50.0,2.0,-0.8571428571428572,1,1,1,1,True
Ruben Loftus-Cheek,2,0,1,5,3,0,0,1,1.5714285714285714,60.0,1,0,0,60.0,2.0,0.4285714285714286,1,1,1,1,False
Jordan Ayew,2,0,1,6,16,1,0,0,2.0,60.0,0,1,2,60.0,2.0,0.0,3,1,1,1,True
Patrick van Aanholt,0,1,1,6,16,0,0,0,0.7142857142857143,55.0,0,1,1,55.0,1.0,-0.7142857142857143,3,1,1,1,True
Federico Fernández,6,1,1,14,19,0,0,0,1.0,50.0,1,0,1,50.0,2.0,5.0,1,2,2,2,False
Alphonse Areola,0,0,1,8,1,0,1,0,2.857142857142857,45.0,0,1,3,45.0,3.0,-2.857142857142857,0,1,1,1,True
Harrison Reed,2,0,1,8,1,0,0,1,2.4285714285714284,45.0,0,1,0,45.0,3.0,-0.4285714285714284,0,1,1,1,True
Jamie Vardy,13,0,1,10,18,1,0,0,5.714285714285714,100.0,1,0,2,100.0,3.0,7.285714285714286,3,0,0,0,False
Serge Aurier,0,1,1,17,7,0,0,0,0.2857142857142857,55.0,0,1,1,55.0,1.0,-0.2857142857142857,1,1,1,1,True
Youri Tielemans,3,0,1,10,18,0,0,1,2.5714285714285716,65.0,1,0,0,65.0,3.0,0.4285714285714284,3,0,0,0,False
Christian Pulisic,0,0,1,5,3,0,0,1,1.8571428571428572,85.0,1,0,0,85.0,2.0,-1.8571428571428572,1,1,1,1,False
Matt Ritchie,0,0,1,14,19,0,0,1,3.142857142857143,50.0,1,0,0,50.0,3.0,-3.142857142857143,1,2,2,2,False
Andros Townsend,8,0,1,6,16,0,0,1,3.4285714285714284,60.0,0,1,0,60.0,3.0,4.571428571428571,3,1,1,1,True
Jairo Riedewald,0,0,1,6,16,0,0,1,2.5714285714285716,45.0,0,1,0,45.0,3.0,-2.5714285714285716,3,1,1,1,True
Joël Veltman,0,1,1,3,5,0,0,0,2.0,45.0,0,1,1,45.0,2.0,-2.0,0,2,2,2,True
Theo Walcott,0,0,1,7,17,0,0,1,1.0,60.0,1,0,0,60.0,2.0,-1.0,0,2,2,2,False
Abdoulaye Doucouré,3,0,1,7,17,0,0,1,1.2857142857142858,55.0,1,0,0,55.0,2.0,1.7142857142857142,0,2,2,2,False
Richarlison de Andrade,12,0,2,7,18,1,0,0,4.285714285714286,80.0,0,1,2,80.0,3.0,7.714285714285714,3,0,0,0,True
Romain Saïss,1,1,2,20,12,0,0,0,2.2857142857142856,50.0,0,1,1,50.0,3.0,-1.2857142857142856,0,3,3,3,True
Thiago Thiago,0,1,2,5,11,0,0,0,2.2857142857142856,55.0,0,1,1,55.0,3.0,-2.2857142857142856,0,2,2,2,True
Gylfi Sigurdsson,1,0,2,7,18,0,0,1,2.4285714285714284,70.0,0,1,0,70.0,3.0,-1.4285714285714284,3,0,0,0,True
Ainsley Maitland-Niles,0,1,2,1,19,0,0,0,0.5714285714285714,50.0,0,1,1,50.0,1.0,-0.5714285714285714,1,2,2,2,True
Danny Ings,11,0,2,16,17,1,0,0,2.4285714285714284,85.0,0,1,2,85.0,3.0,8.571428571428571,0,2,2,2,True
Mario Lemina,1,0,2,8,10,0,0,1,1.1428571428571428,45.0,1,0,0,45.0,2.0,-0.1428571428571428,2,2,2,2,False
Fabio Silva,1,0,2,20,12,1,0,0,1.8571428571428572,55.0,0,1,2,55.0,2.0,-0.8571428571428572,0,3,3,3,True
Joelinton Cássio Apolinário de Lira,1,0,2,14,3,1,0,0,1.8571428571428572,60.0,0,1,2,60.0,2.0,-0.8571428571428572,1,1,1,1,True
Granit Xhaka,2,0,2,1,19,0,0,1,2.2857142857142856,55.0,0,1,0,55.0,3.0,-0.2857142857142856,1,2,2,2,True
Abdoulaye Doucouré,1,0,2,7,18,0,0,1,3.142857142857143,55.0,0,1,0,55.0,3.0,-2.142857142857143,3,0,0,0,True
Tomas Soucek,2,0,2,19,1,0,0,1,4.428571428571429,50.0,1,0,0,50.0,3.0,-2.428571428571429,0,1,1,1,False
Gabriel Magalhães,2,1,2,1,19,0,0,0,1.8571428571428572,50.0,0,1,1,50.0,2.0,0.1428571428571428,1,2,2,2,True
Willian Borges Da Silva,2,0,2,1,19,0,0,1,2.2857142857142856,80.0,0,1,0,80.0,3.0,-0.2857142857142856,1,2,2,2,True
Jacob Murphy,0,0,2,14,3,0,0,1,3.2857142857142856,50.0,0,1,0,50.0,3.0,-3.2857142857142856,1,1,1,1,True
Rob Holding,2,1,2,1,19,0,0,0,2.0,45.0,0,1,1,45.0,2.0,0.0,1,2,2,2,True
Jairo Riedewald,0,0,2,6,13,0,0,1,1.1428571428571428,45.0,1,0,0,45.0,2.0,-1.1428571428571428,0,3,3,3,False
Patrick van Aanholt,0,1,2,6,13,0,0,0,1.1428571428571428,55.0,1,0,1,55.0,2.0,-1.1428571428571428,0,3,3,3,False
César Azpilicueta,0,1,2,5,11,0,0,0,3.4285714285714284,60.0,0,1,1,60.0,3.0,-3.4285714285714284,0,2,2,2,True
Oliver Norwood,0,0,2,15,2,0,0,1,1.2857142857142858,50.0,1,0,0,50.0,2.0,-1.2857142857142858,1,1,1,1,False
Angelo Ogbonna,1,1,2,19,1,0,0,0,3.4285714285714284,50.0,1,0,1,50.0,3.0,-2.4285714285714284,0,1,1,1,False
Bernd Leno,2,0,2,1,19,0,1,0,3.4285714285714284,50.0,0,1,3,50.0,3.0,-1.4285714285714284,1,2,2,2,True
Pedro Lomba Neto,2,0,2,20,12,0,0,1,2.142857142857143,55.0,0,1,0,55.0,2.0,-0.1428571428571428,0,3,3,3,True
Michail Antonio,6,0,2,19,1,1,0,0,3.7142857142857144,65.0,1,0,2,65.0,3.0,2.2857142857142856,0,1,1,1,False
Ruben Loftus-Cheek,0,0,2,5,11,0,0,1,1.1428571428571428,60.0,0,1,0,60.0,2.0,-1.1428571428571428,0,2,2,2,True
Tammy Abraham,1,0,2,5,11,1,0,0,0.7142857142857143,75.0,0,1,2,75.0,1.0,0.2857142857142857,0,2,2,2,True
Che Adams,1,0,2,16,17,1,0,0,1.2857142857142858,60.0,0,1,2,60.0,2.0,-0.2857142857142858,0,2,2,2,True
N'Golo Kanté,2,0,2,5,11,0,0,1,2.5714285714285716,50.0,0,1,0,50.0,3.0,-0.5714285714285716,0,2,2,2,True
Vicente Guaita,3,0,2,6,13,0,1,0,2.142857142857143,50.0,1,0,3,50.0,2.0,0.8571428571428572,0,3,3,3,False
Sam Johnstone,0,0,2,18,7,0,1,0,3.5714285714285716,45.0,1,0,3,45.0,3.0,-3.5714285714285716,1,1,1,1,False
Callum Wilson,2,0,2,14,3,1,0,0,3.5714285714285716,65.0,0,1,2,65.0,3.0,-1.5714285714285716,1,1,1,1,True
Pascal Groß,0,0,2,3,14,0,0,1,2.142857142857143,60.0,1,0,0,60.0,2.0,-2.142857142857143,2,1,1,1,False
Georginio Wijnaldum,3,0,2,11,5,0,0,1,2.142857142857143,55.0,1,0,0,55.0,2.0,0.8571428571428572,0,2,2,2,False
Diogo Jota,0,0,2,20,12,0,0,1,1.2857142857142858,65.0,0,1,0,65.0,2.0,-1.2857142857142858,0,3,3,3,True
Ben Davies,1,1,2,17,16,0,0,0,0.7142857142857143,50.0,1,0,1,50.0,1.0,0.2857142857142857,3,1,1,1,False
Lukasz Fabianski,1,0,2,19,1,0,1,0,3.5714285714285716,50.0,1,0,3,50.0,3.0,-2.5714285714285716,0,1,1,1,False
Eberechi Eze,1,0,2,6,13,0,0,1,3.7142857142857144,60.0,1,0,0,60.0,3.0,-2.7142857142857144,0,3,3,3,False
Rui Pedro dos Santos Patrício,3,0,2,20,12,0,1,0,2.2857142857142856,55.0,0,1,3,55.0,3.0,0.7142857142857144,0,3,3,3,True
